,"WTH1% vs 
WTN21%","WTA 0% vs 
WTN 21%","DNN 21% vs 
WTN 21%","DNH 1% vs 
WTN 21%","DNA 0% vs 
WTN 21%",WTH 1% vs WTA 0%,WTH 1% vs DNN 21%,WTH 1% vs DNH 1%,WTH 1 % vs DNA 0%,WTN 0% vs DNN 21%,WTN 0% vs DNH1%,WTN0% vs DNA 0%,DNH 1% vs DNN 21%,DNA 0% vs DNN 21%,DNH 1% vs DNA 0%
Metabolite,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
Glycine,1.006630996,1.080249797,0.972065238,1.009935558,1.077888225,0.931850206,1.035559093,0.996727947,0.933891819,1.111293516,1.0696225,1.002190924,1.03895862,1.108864079,0.936957594
Lactate,3.278695805,4.091779657,0.949969295,3.274340488,4.137702802,0.801288456,3.451370294,1.001330135,0.792395192,4.307275697,1.24965002,0.988901295,3.446785602,4.355617411,0.791342599
Pyruvate,1.458994343,1.480405103,1.08256778,1.525440644,1.580421583,0.985537229,1.347716392,0.956441241,0.923167817,1.367494147,0.970477028,0.936715316,1.409094813,1.459882339,0.965211219
Leucine,1.001894835,1.999131215,0.668130176,1.593134242,2.107275506,0.50116512,1.499550343,0.62888287,0.475445585,2.992128311,1.254841659,0.948680516,2.384466829,3.15398942,0.756016115
Glycerol,1.387971862,2.677234318,1.012236231,1.908913219,3.07426518,0.518434958,1.37119362,0.727100555,0.451480852,2.644871066,1.402491371,0.870853411,1.885837674,3.037102494,0.620933168
Norleucine,1.022831054,1.078341693,0.998174182,1.03267773,1.049667338,0.948522217,1.024701972,0.990464909,0.974433533,1.08031415,1.044218987,1.027317564,1.03456666,1.051587345,0.983814293
Malonate,1.158971478,1.268132156,1.0109046,1.172793578,1.412731126,0.91392011,1.146469685,0.98821438,0.820376544,1.254452849,1.081291866,0.897645796,1.160142686,1.397492035,0.8301605
Phosphate,1.202932107,2.928851699,0.902791615,1.56398713,3.798045917,0.410717998,1.332458218,0.769144505,0.31672395,3.244216771,1.872682737,0.771146996,1.732389959,4.207001762,0.411787315
Threonine,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Beta-alanine,0.700587855,1.104768493,0.847555522,0.694297494,1.134394257,0.634149018,0.826598184,1.009060037,0.617587625,1.303476249,1.591203342,0.973884067,0.819176415,1.338430613,0.612042497
Erythronate vs Threonate,1.388388367,1.933006137,0.852071012,1.487117717,1.689918409,0.718253471,1.629428002,0.933610266,0.821571242,2.268597464,1.299833977,1.143845837,1.745297864,1.983307008,0.879993797
Malate,0.935919481,0.99196497,0.962385577,1.328021538,1.561204571,0.943500536,0.972499488,0.704747215,0.599485486,1.030735491,0.74694946,0.635384362,1.379926684,1.622223575,0.850639027
4-aminobutyrate,0.632968948,0.937343324,0.766496956,0.585207483,0.746897663,0.675279732,0.825794471,1.081614584,0.84746409,1.222892428,1.601728193,1.254982269,0.763483114,0.974430045,0.783517625
Aspartate (1),0.50797649,0.547146676,1.391594579,0.661761164,0.802000504,0.92841008,0.365031955,0.767613027,0.633386746,0.393179655,0.826803848,0.682227347,0.475541637,0.576317641,0.825138089
Aspartate (2),0.513637475,1.165452468,1.947778535,0.942303031,2.756236518,0.440719368,0.263704248,0.545087364,0.186354644,0.59834958,1.236812819,0.422841966,0.483783456,1.415066686,0.341880323
4-hydroxyproline,0.451273174,0.770792642,0.838457265,0.675832796,0.907405845,0.585466375,0.538218456,0.667729026,0.497322314,0.919298663,1.140507899,0.849446415,0.806043223,1.082232671,0.744796608
xylitol vs Ribitol,0.174778402,1.03568616,0.744000219,0.693709276,1.248352668,0.168756144,0.234917138,0.251947622,0.140007233,1.392050881,1.492968591,0.829642286,0.932404666,1.677892876,0.555699759
Cysteine,1.65769178,6.165764437,0.832779612,1.606028717,3.496251326,0.268854219,1.990552789,1.032168206,0.474134044,7.403836916,3.839137104,1.763535817,1.928515892,4.198291209,0.459357342
2-hydroxyglutarate,1.702217865,3.967365243,1.06734573,2.378307846,4.468996481,0.429054993,1.594813955,0.715726464,0.380894877,3.717038568,1.66814622,0.887753047,2.228245057,4.187018654,0.532179396
Methionine,1.907538318,3.935232519,0.450479505,1.533954819,5.563001652,0.484733318,4.234461941,1.243542701,0.342897313,8.735652737,2.565416185,0.707393735,3.405160063,12.34906715,0.275742291
Creatinine,0.451108226,1.157852734,1.205058515,1.135789908,1.928869739,0.389607601,0.374345495,0.397175765,0.233871794,0.960826981,1.019425094,0.600275234,0.942518471,1.600644049,0.588837019
Glutamine,0.538565795,0.644723472,0.948570821,0.680007163,0.750959176,0.835343862,0.567765509,0.792000179,0.717170536,0.679678795,0.948112766,0.858533317,0.71687548,0.791674337,0.905518148
Putrescine,0.583398996,0.682838327,1.054038253,0.839355575,0.932079572,0.854373536,0.553489396,0.695055842,0.625911149,0.647830689,0.813526886,0.732596602,0.796323637,0.884293876,0.900519227
Glutamate,N.A.,N.A.,N.A.,N.A.,N.A.,1.768890167,N.A.,N.A.,1.366659622,N.A.,N.A.,0.772608524,N.A.,N.A.,N.A.
Hypotaurine,0.652342049,1.081102398,1.028622582,1.071374658,1.3448738,0.603404497,0.634189896,0.608883218,0.485058188,1.051019506,1.009079681,0.80386903,1.041562451,1.307451172,0.796635831
Pyroglutamate,1.255322781,2.598431579,1.191281903,1.78675425,4.620368486,0.483107884,1.053757954,0.702571594,0.271693218,2.181206289,1.454274744,0.562386222,1.499858468,3.878484575,0.3867125
Fructose,0.688577019,0.694110375,0.909094171,0.712342232,0.791589819,0.992028132,0.757432003,0.966637928,0.869865936,0.763518672,0.974405761,0.876856116,0.783573643,0.870745677,0.899888066
2-oxoglutarate,0.412307606,1.382034464,1.354392674,1.026492751,0.58517017,0.298333809,0.304422502,0.401666359,0.704594367,1.020408993,1.346365537,2.361765063,0.757898925,0.432053555,1.754178192
Glycerol-3-phosphate,0.736982299,1.272227354,2.105708046,2.30809986,3.951208364,0.57928506,0.349992631,0.319302605,0.186520738,0.604180317,0.551201174,0.321984375,1.0961158,1.876427443,0.584150378
Citrate,0.106314376,0.507156454,0.265453713,0.244831169,0.872727612,0.20962836,0.400500617,0.434235463,0.121818508,1.910526878,2.071453795,0.581116544,0.922312089,3.287682822,0.280535605
Lysine,0.823362175,1.324293022,3.745583168,2.923578224,5.638897034,0.621737155,0.219822158,0.281628235,0.146014756,0.353561238,0.452969929,0.234849655,0.780540197,1.505479062,0.518466325
Tyrosine,1.627114157,3.620466354,1.170661371,2.24137405,4.811146288,0.449421151,1.389910181,0.725944943,0.338196775,3.092667482,1.61528878,0.752516373,1.91462203,4.109767699,0.465871108
Hexadecanoic acid,0.97576975,1.023932038,0.926392307,0.96467456,1.111433256,0.952963394,1.053300791,1.011501485,0.877938234,1.105289876,1.061427429,0.921271729,1.041324018,1.199743616,0.867955457
Octadecenoic acid,1.018111686,1.054302523,1.017248024,0.933356321,1.138393026,0.965673196,1.000849018,1.090807083,0.894341113,1.036426218,1.129582024,0.926132274,0.917530729,1.119090919,0.819889352
